iter	RMSE
0	35.77734141
1	35.46139164
2	35.13559287
3	34.81383256
4	34.49818978
5	34.18427687
6	33.87187582
7	33.56291582
8	33.2597932
9	32.96909129
10	32.67114765
11	32.3851263
12	32.0870619
13	31.80378713
14	31.52086608
15	31.24267923
16	30.96555824
17	30.69860928
18	30.42118465
19	30.16543904
20	29.9088493
21	29.64503144
22	29.38393569
23	29.12498362
24	28.86391414
25	28.61498165
26	28.3677356
27	28.12623344
28	27.88504608
29	27.63820943
30	27.39418474
31	27.15423295
32	26.92359074
33	26.69308111
34	26.46399562
35	26.22959701
36	26.01155136
37	25.78727112
38	25.56751387
39	25.35027964
40	25.13696524
41	24.92209462
42	24.70669225
43	24.50130951
44	24.29592777
45	24.08212737
46	23.87841119
47	23.68501623
48	23.49363174
49	23.29943594
50	23.10953736
51	22.92454893
52	22.74156889
53	22.54946616
54	22.36140982
55	22.18025926
56	21.9990214
57	21.81825931
58	21.64220913
59	21.46385832
60	21.28685613
61	21.11549046
62	20.94349037
63	20.77218245
64	20.60114514
65	20.43264097
66	20.26547279
67	20.10602146
68	19.95328908
69	19.79460402
70	19.63392545
71	19.47393327
72	19.32426077
73	19.17444808
74	19.03633537
75	18.88856414
76	18.74567698
77	18.6004178
78	18.46198868
79	18.32373505
80	18.18533341
81	18.0506166
82	17.9172719
83	17.77849418
84	17.65305936
85	17.52662815
86	17.40868758
87	17.27891915
88	17.15129591
89	17.02828127
90	16.90956046
91	16.78779088
92	16.66684953
93	16.55005277
94	16.43386033
95	16.32097182
96	16.20528047
97	16.09160555
98	15.99127121
99	15.87854065
100	15.76563618
101	15.65530859
102	15.54473442
103	15.4426328
104	15.3389684
105	15.23012931
106	15.13077904
107	15.02689205
108	14.92102497
109	14.81702952
110	14.72789113
111	14.63604279
112	14.54243433
113	14.44328797
114	14.35388458
115	14.26581205
116	14.17951781
117	14.08641291
118	13.99255354
119	13.9061162
120	13.81975395
121	13.73857206
122	13.65415216
123	13.56555983
124	13.48120732
125	13.40679823
126	13.32168442
127	13.24010781
128	13.16343282
129	13.08874576
130	13.0112813
131	12.92890022
132	12.84894857
133	12.7756124
134	12.70340804
135	12.62856615
136	12.5528946
137	12.4775258
138	12.4035466
139	12.33977611
140	12.2701522
141	12.19955804
142	12.12926689
143	12.06400359
144	12.00289608
145	11.93063565
146	11.86928776
147	11.80166253
148	11.74192566
149	11.68076486
150	11.62275574
151	11.56166963
152	11.5050189
153	11.45095534
154	11.39176089
155	11.33866701
156	11.28396156
157	11.22923986
158	11.17284176
159	11.1185525
160	11.06659346
161	11.01189936
162	10.95685671
163	10.91728358
164	10.864651
165	10.81594568
166	10.77019993
167	10.72181573
168	10.67471612
169	10.62557299
170	10.58039812
171	10.53314206
172	10.48948177
173	10.44914792
174	10.411682
175	10.3658498
176	10.3203962
177	10.27780343
178	10.23331606
179	10.1874975
180	10.14875619
181	10.10937548
182	10.0639575
183	10.02364572
184	9.980072242
185	9.939135542
186	9.901394345
187	9.863280809
188	9.825618062
189	9.783995971
190	9.750036394
191	9.719668137
192	9.690893585
193	9.655116023
194	9.617991033
195	9.582968854
196	9.549004675
197	9.516879392
198	9.482163134
199	9.448639437
200	9.42020506
201	9.391137356
202	9.354112247
203	9.327418376
204	9.292238198
205	9.260433233
206	9.228773173
207	9.202845207
208	9.170287979
209	9.140819471
210	9.111774678
211	9.086423327
212	9.056690845
213	9.027942942
214	9.000457729
215	8.976543952
216	8.951434933
217	8.928881015
218	8.903167084
219	8.876723546
220	8.849357382
221	8.824927894
222	8.800299534
223	8.778424681
224	8.755707844
225	8.732980711
226	8.710170781
227	8.685469346
228	8.664345451
229	8.639731603
230	8.621075388
231	8.600860494
232	8.579157732
233	8.558832099
234	8.536639822
235	8.520217801
236	8.501420846
237	8.479284299
238	8.463835456
239	8.444298216
240	8.420353716
241	8.404728994
242	8.38427482
243	8.367041019
244	8.346078665
245	8.325778222
246	8.308329169
247	8.295612766
248	8.275752595
249	8.262754031
250	8.245804227
251	8.227032609
252	8.210619107
253	8.194761116
254	8.175663061
255	8.15735342
256	8.139601936
257	8.124541738
258	8.108209582
259	8.091829482
260	8.079096821
261	8.061567174
262	8.049156417
263	8.032463373
264	8.019207389
265	8.005335583
266	7.989229472
267	7.974096737
268	7.960355327
269	7.945254421
270	7.929144996
271	7.918975519
272	7.907074499
273	7.893323998
274	7.877868176
275	7.869897451
276	7.854844338
277	7.843209742
278	7.828023282
279	7.813173022
280	7.797732645
281	7.787749458
282	7.778774284
283	7.77049216
284	7.760720722
285	7.746864835
286	7.738039713
287	7.729404453
288	7.718205207
289	7.710086833
290	7.702701469
291	7.689722803
292	7.679228096
293	7.667340259
294	7.655369358
295	7.642161539
296	7.631250598
297	7.621079236
298	7.611840531
299	7.602988849
300	7.590824046
301	7.577731177
302	7.567550378
303	7.558724503
304	7.548122549
305	7.538317946
306	7.528764084
307	7.520834475
308	7.512152624
309	7.503178198
310	7.494985013
311	7.485511771
312	7.478292737
313	7.471148652
314	7.463678072
315	7.458490742
316	7.450575889
317	7.442242105
318	7.434491014
319	7.42760081
320	7.421964612
321	7.413108865
322	7.403964374
323	7.399380227
324	7.394579797
325	7.387567784
326	7.37973283
327	7.373296704
328	7.367486757
329	7.357774056
330	7.351197694
331	7.345059037
332	7.337067873
333	7.327733687
334	7.322082793
335	7.31606538
336	7.311127777
337	7.303512594
338	7.297048058
339	7.29114294
340	7.283734062
341	7.276872411
342	7.269756977
343	7.264243403
344	7.256186618
345	7.249902303
346	7.242699271
347	7.236850034
348	7.229358722
349	7.22131088
350	7.216688918
351	7.209037119
352	7.203021393
353	7.196595133
354	7.191455996
355	7.186274067
356	7.18195474
357	7.176942013
358	7.172704761
359	7.165970305
360	7.160628511
361	7.154973452
362	7.151223097
363	7.146024876
364	7.142239709
365	7.138113305
366	7.131551987
367	7.127158466
368	7.123812235
369	7.117358295
370	7.113354347
371	7.109095564
372	7.102937778
373	7.096219675
374	7.090470911
375	7.084306497
376	7.081044517
377	7.077056338
378	7.07358734
379	7.070329587
380	7.065940359
381	7.060081792
382	7.054803205
383	7.05146505
384	7.048519778
385	7.04510986
386	7.040672926
387	7.037077052
388	7.033643574
389	7.028623005
390	7.023987712
391	7.018175415
392	7.013440185
393	7.009801304
394	7.006069643
395	7.003362396
396	7.000036456
397	6.996823364
398	6.991144636
399	6.98735005
400	6.981094017
401	6.976395866
402	6.970873006
403	6.967897367
404	6.964107929
405	6.961101704
406	6.957114421
407	6.952431362
408	6.947081293
409	6.94266843
410	6.940066584
411	6.937300808
412	6.933228799
413	6.929162684
414	6.928091532
415	6.925068547
416	6.921919415
417	6.91744937
418	6.914739135
419	6.911326489
420	6.90619126
421	6.903353271
422	6.900033562
423	6.897443505
424	6.894473738
425	6.892304575
426	6.888067877
427	6.884393197
428	6.880956634
429	6.876222736
430	6.873134548
431	6.870629916
432	6.867834808
433	6.863906462
434	6.861807211
435	6.858793618
436	6.854635907
437	6.852792214
438	6.850795111
439	6.848380966
440	6.844753083
441	6.842261258
442	6.838247946
443	6.836606759
444	6.832422786
445	6.829456573
446	6.826649176
447	6.82300762
448	6.82169729
449	6.819461061
450	6.816316024
451	6.813058068
452	6.809012292
453	6.806781563
454	6.801421364
455	6.798518264
456	6.79477239
457	6.792089588
458	6.788916583
459	6.786250098
460	6.783854856
461	6.779894868
462	6.776190871
463	6.773581599
464	6.77174835
465	6.769573999
466	6.766545958
467	6.764208408
468	6.762322544
469	6.759723041
470	6.757571497
471	6.754900497
472	6.752169719
473	6.750760636
474	6.748476032
475	6.745670583
476	6.742961165
477	6.740476547
478	6.738213621
479	6.735704269
480	6.73353104
481	6.732390629
482	6.730391901
483	6.728079582
484	6.725996074
485	6.723476376
486	6.719403057
487	6.716253818
488	6.714496457
489	6.71202706
490	6.709120124
491	6.705747684
492	6.702033913
493	6.699448725
494	6.696998618
495	6.694924067
496	6.69081233
497	6.689007722
498	6.684600482
499	6.68183139
500	6.679413273
501	6.677563556
502	6.675337516
503	6.672048792
504	6.668977145
505	6.665537759
506	6.661547234
507	6.658348686
508	6.656004359
509	6.65375849
510	6.651890497
511	6.649585607
512	6.647149255
513	6.64549729
514	6.642107636
515	6.638788639
516	6.636612155
517	6.633898093
518	6.632652079
519	6.630738047
520	6.627519976
521	6.626366392
522	6.62228596
523	6.620243289
524	6.616951809
525	6.615253763
526	6.61327194
527	6.610472195
528	6.607315041
529	6.603591215
530	6.602352849
531	6.59903384
532	6.597399599
533	6.594336197
534	6.592375737
535	6.590525834
536	6.587682387
537	6.585683254
538	6.584076191
539	6.581232556
540	6.578945765
541	6.577074043
542	6.575099396
543	6.571908926
544	6.568713093
545	6.565780262
546	6.564349372
547	6.562275018
548	6.559937771
549	6.55725
550	6.554700942
551	6.552949115
552	6.550928861
553	6.547991764
554	6.545444033
555	6.543236646
