iter	Passed	Remaining
0	36	35243
1	66	32026
2	94	30209
3	123	29530
4	152	29185
5	180	28851
6	208	28532
7	237	28358
8	267	28358
9	296	28280
10	325	28166
11	354	28130
12	384	28117
13	414	28073
14	443	28034
15	474	28108
16	504	28091
17	534	28047
18	563	28006
19	592	27942
20	621	27893
21	650	27811
22	680	27797
23	711	27829
24	740	27782
25	769	27726
26	799	27702
27	827	27630
28	859	27681
29	889	27672
30	919	27638
31	950	27648
32	979	27593
33	1007	27538
34	1036	27476
35	1066	27449
36	1096	27439
37	1126	27422
38	1157	27419
39	1186	27385
40	1216	27352
41	1245	27318
42	1273	27254
43	1303	27216
44	1331	27171
45	1361	27143
46	1390	27095
47	1418	27042
48	1447	27008
49	1476	26969
50	1505	26929
51	1535	26897
52	1565	26871
53	1594	26844
54	1624	26821
55	1654	26794
56	1684	26777
57	1713	26739
58	1742	26704
59	1771	26658
60	1800	26626
61	1828	26576
62	1858	26544
63	1887	26511
64	1916	26472
65	1951	26528
66	1988	26593
67	2017	26554
68	2048	26535
69	2077	26506
70	2107	26472
71	2136	26440
72	2165	26397
73	2194	26360
74	2222	26319
75	2250	26264
76	2278	26221
77	2307	26179
78	2337	26151
79	2366	26118
80	2397	26106
81	2426	26065
82	2455	26038
83	2485	26005
84	2513	25965
85	2544	25949
86	2573	25914
87	2602	25881
88	2630	25835
89	2659	25792
90	2687	25751
91	2716	25716
92	2744	25677
93	2772	25633
94	2801	25596
95	2831	25567
96	2859	25530
97	2888	25493
98	2916	25452
99	2945	25418
100	2974	25383
101	3002	25340
102	3030	25300
103	3059	25267
104	3088	25239
105	3117	25203
106	3146	25174
107	3175	25142
108	3204	25104
109	3233	25071
110	3262	25042
111	3291	25008
112	3319	24972
113	3348	24935
114	3376	24900
115	3405	24865
116	3432	24820
117	3460	24783
118	3488	24742
119	3517	24713
120	3546	24681
121	3575	24648
122	3604	24614
123	3632	24579
124	3661	24546
125	3689	24511
126	3718	24476
127	3746	24441
128	3775	24410
129	3804	24376
130	3833	24348
131	3862	24314
132	3891	24282
133	3920	24255
134	3951	24238
135	3981	24212
136	4009	24175
137	4039	24148
138	4067	24110
139	4095	24074
140	4124	24044
141	4152	24009
142	4180	23974
143	4210	23947
144	4239	23916
145	4268	23888
146	4297	23853
147	4325	23818
148	4353	23784
149	4381	23747
150	4410	23715
151	4439	23687
152	4468	23658
153	4498	23629
154	4526	23595
155	4560	23590
